id,walk_len,walk_eyex_mean,walk_eyex_std,walk_eyex_speed,walk_eyey_mean,walk_eyey_std,walk_eyey_speed,walk_eye_speed,walk_path_total,walk_path_speed,walk_path_speed_sd,walk_straightness,walk_eyexspeed_corr,search_len,search_eyex_mean,search_eyex_std,search_eyex_speed,search_eyey_mean,search_eyey_std,search_eyey_speed,search_eye_speed,search_path_total,search_path_speed,search_path_speed_sd,search_straightness,search_eyexspeed_corr,
8,7311,-5.1702,15.3169,1.6479,-1.113,9.8257,1.1171,2.2539,299.5812,1.2293,0.29019,1.3723,-0.031063,15855,-10.7152,15.9728,1.0869,-4.0757,11.384,0.81815,1.5259,256.9642,0.48621,0.50331,2.4646,-0.17879,
3,7906,-6.7355,10.6045,2.3557,-1.1908,11.652,2.0039,3.365,305.6933,1.16,0.16641,1.3822,0.006625,16489,-8.3258,10.3897,1.1064,-1.7525,12.4143,1.0146,1.6775,240.2033,0.43702,0.43405,2.2139,-0.046705,
5,7961,-4.1267,12.5895,1.8314,-0.68126,12.8336,1.666,2.7604,316.7194,1.1935,0.29474,1.398,0.0093652,12361,-8.0985,13.4961,1.1657,-1.8826,11.9624,1.0253,1.7316,211.2014,0.51258,0.48141,1.9968,-0.061634,
6,8029,-4.3266,14.1943,1.7276,-12.295,8.1028,0.82839,2.0594,316.1592,1.1813,0.22303,1.4323,-0.0079433,21844,-8.9065,15.6516,1.2989,-8.1637,12.1165,0.88433,1.7061,357.7594,0.49134,0.47527,2.5153,-0.19875,
7,7908,1.8234,11.8864,1.9564,-6.3349,6.7412,0.98998,2.3613,310.1101,1.1764,0.24982,1.3936,-0.11776,28691,-2.8911,13.4968,1.0401,-3.2481,8.1809,0.62296,1.3145,537.6127,0.56214,0.36658,4.9512,0.04612,
9,7093,-3.4848,8.7622,1.277,-3.0786,10.2108,1.0279,1.8896,313.4689,1.3258,0.33716,1.2263,0.0022008,13218,-3.3929,11.6296,1.115,-4.8775,7.1327,0.68164,1.4392,263.1672,0.59729,0.4499,3.077,-0.086301,
10,7434,-6.9574,9.0381,1.3735,1.433,8.9892,1.0346,1.9019,329.472,1.3296,0.3011,1.4923,-0.041328,14722,-6.4986,10.6519,0.8508,0.41342,9.7871,0.56556,1.1259,272.2747,0.55483,0.56261,2.239,-0.22504,
11,7511,-3.4081,16.6323,2.3065,-6.3726,13.9832,1.5006,2.9537,302.4695,1.2081,0.2489,1.3936,-0.014877,16410,-6.5464,16.2411,1.5494,-2.7269,11.8755,1.0862,2.0436,249.9622,0.45697,0.435,2.5375,-0.13788,
12,7809,2.6887,10.6609,1.3647,-1.6811,7.185,0.9009,1.7981,306.223,1.1764,0.23386,1.3611,-0.00047592,18618,-1.8767,13.9015,0.78451,0.54323,9.277,0.49869,1.0333,308.4243,0.49698,0.48061,2.8053,-0.17573,
13,8221,5.7154,14.4007,3.0899,-9.2582,7.4759,0.99417,3.452,304.0932,1.1097,0.24206,1.3744,-0.0030313,17504,-2.1171,16.7836,2.5867,-7.7285,7.603,0.75936,2.8573,339.4716,0.58182,0.41181,2.8779,-0.026952,
